tweet_id,favorites,retweets,timestamp
863553081350529029,14741,3985,Sun May 14 00:34:33 +0000 2017
863471782782697472,0,2311,Sat May 13 19:11:30 +0000 2017
863432100342583297,22978,4983,Sat May 13 16:33:49 +0000 2017
863427515083354112,2144,91,Sat May 13 16:15:35 +0000 2017
863079547188785154,8470,1053,Fri May 12 17:12:53 +0000 2017
863062471531167744,8175,2311,Fri May 12 16:05:02 +0000 2017
862831371563274240,18531,4896,Fri May 12 00:46:44 +0000 2017
862722525377298433,16513,3369,Thu May 11 17:34:13 +0000 2017
862457590147678208,19776,4701,Thu May 11 00:01:27 +0000 2017
862096992088072192,71816,22107,Wed May 10 00:08:34 +0000 2017
861383897657036800,34913,10240,Mon May 08 00:54:59 +0000 2017
861288531465048066,16617,3953,Sun May 07 18:36:02 +0000 2017
861005113778896900,16173,3647,Sat May 06 23:49:50 +0000 2017
860981674716409858,0,2052,Sat May 06 22:16:42 +0000 2017
860924035999428608,0,770,Sat May 06 18:27:40 +0000 2017
860563773140209665,7275,2052,Fri May 05 18:36:06 +0000 2017
860524505164394496,22903,5077,Fri May 05 16:00:04 +0000 2017
860276583193509888,17799,3346,Thu May 04 23:34:55 +0000 2017
860184849394610176,16171,5603,Thu May 04 17:30:24 +0000 2017
860177593139703809,0,29652,Thu May 04 17:01:34 +0000 2017
859924526012018688,18987,3930,Thu May 04 00:15:58 +0000 2017
859851578198683649,14985,3366,Wed May 03 19:26:06 +0000 2017
859607811541651456,18065,1496,Wed May 03 03:17:27 +0000 2017
859196978902773760,87216,28957,Tue May 02 00:04:57 +0000 2017
859074603037188101,32888,13102,Mon May 01 15:58:40 +0000 2017
858860390427611136,0,7819,Mon May 01 01:47:28 +0000 2017
858843525470990336,15150,3356,Mon May 01 00:40:27 +0000 2017
858471635011153920,20928,4671,Sun Apr 30 00:02:42 +0000 2017
858107933456039936,15342,2801,Fri Apr 28 23:57:28 +0000 2017
857989990357356544,15673,2501,Fri Apr 28 16:08:49 +0000 2017
857746408056729600,33365,10245,Fri Apr 28 00:00:54 +0000 2017
857393404942143489,5746,1584,Thu Apr 27 00:38:11 +0000 2017
857263160327368704,19552,4365,Wed Apr 26 16:00:39 +0000 2017
857214891891077121,220,17,Wed Apr 26 12:48:51 +0000 2017
857062103051644929,0,164,Wed Apr 26 02:41:43 +0000 2017
857029823797047296,18436,3860,Wed Apr 26 00:33:27 +0000 2017
856543823941562368,15948,2791,Mon Apr 24 16:22:16 +0000 2017
856526610513747968,11585,1815,Mon Apr 24 15:13:52 +0000 2017
856330835276025856,0,648,Mon Apr 24 02:15:55 +0000 2017
856288084350160898,505,15,Sun Apr 23 23:26:03 +0000 2017
856282028240666624,27143,6107,Sun Apr 23 23:01:59 +0000 2017
855862651834028034,334,25,Sat Apr 22 19:15:32 +0000 2017
855860136149123072,4841,958,Sat Apr 22 19:05:32 +0000 2017
855857698524602368,11616,2048,Sat Apr 22 18:55:51 +0000 2017
